id,date,text,user,location,geo,place,friends_count,followers_count,favorite_count,retweet_count,hashtags
1409991966696382470,2021-06-29 21:47:35,"b""I'm gonna wait for a price drop on this one. $70 for a MP game only title when Halo Infinite is fucking free around\xe2\x80\xa6 https://t.co/AmyXW9NNDm""",b'FailedPyro',"b'Bronx, NY'",,,958,1438,0,0,[]
1409990675966435329,2021-06-29 21:42:28,"b""@6thGenSS @davidscottjaffe I'm pretty sure halo infinite budget was near a billion""",b'Mjolnirjarbjor1',b'',,,131,2,0,0,[]
1409990671591673860,2021-06-29 21:42:27,b'\xe2\x9a\xab\xef\xb8\x8fWE ARE LIVE! @Halo Infinite Prep! PvP and Fire Fight! IM GIVING AWAY A RAZER KRAKEN ULTIMATE HEADSET WHEN WE REAC\xe2\x80\xa6 https://t.co/4mAlXPB0y4',b'RobzDomain',b'',,,190,144,0,0,[]
1409989019216269315,2021-06-29 21:35:53,"b""@davidscottjaffe I do wonder if it is the reason there aren't as many AAA games exclusive to Xbox though.  That's a\xe2\x80\xa6 https://t.co/sO11D28IBg""",b'MaxK1989',b'United States',,,269,193,0,0,[]
1409988058758402049,2021-06-29 21:32:04,"b""@ShittyHaloTakes I ADORE Halo 5's MP but I feel like Infinite's will toss 5's MP in the TRASH""",b'GlowDonk',b'In the Dimensional Doorways',,,578,59,1,0,[]
1409987815186837512,2021-06-29 21:31:06,"b""@xninja64x I have one with the Halo Infinite marketing on it lmao. I'm going to try to keep it for as long as I can""",b'Not_AbbeyC',b'',,,284,413,0,0,[]
1409987135130701826,2021-06-29 21:28:23,b'@FoxA_R6 Don\xe2\x80\x99t worry Battlefield 2042 and Halo Infinite got your back in the fall',b'Braxton90869715',b'',,,51,2,1,0,[]
1409986107702493184,2021-06-29 21:24:19,b'Catch me with the boys making Halo: Infinite Machinimas',b'BlacklettersJr',b'United States',,,1786,688,8,3,[]
1409984909817548801,2021-06-29 21:19:33,b'@JustJinn Halo Infinite is a must.',b'chiselchase',b'',,,158,233,1,0,[]
1409984193476636675,2021-06-29 21:16:42,b'Do you think Halo: Infinite should have an in-depth pinging system similar to Apex Legends? Or is there an argument\xe2\x80\xa6 https://t.co/Oj8aJ9uQe1',b'ElitheSensei',b'Virginia Beach',,,680,1337,40,0,[]
1409980105326313475,2021-06-29 21:00:27,"b'@AngelRsoto Honestly pretty excited to check out the free Halo: Infinite multiplayer, maybe itll make me invest in the campaign'",b'Uplynxx',"b'New York, US'",,,112,90,1,0,[]
1409978993575710723,2021-06-29 20:56:02,"b""Halo Infinite's First Multiplayer Season Will Be Themed Around Reach\n\nhttps://t.co/1sUTSnurEU https://t.co/Dw2gFDHX1p""",b'ezdlc',b'',,,0,846,0,0,[]
1409978648619323397,2021-06-29 20:54:40,b'@maddd1ZZ3 It\xe2\x80\x99s mainly just adding halo 7 through 10 into infinite and updating multiplayer accordingly',b'Sliverwurst',b'',,,516,64,0,0,[]
1409978458327891986,2021-06-29 20:53:55,b'Halo Infinite Saison 1 s\xe2\x80\x99appellera \xc2\xab\xc2\xa0Heroes of Reach\xc2\xa0\xc2\xbb | Xbox One - Xboxygen - https://t.co/gcoIA8BeZ8 by\xe2\x80\xa6 https://t.co/hyoXgd5fRW',b'ChefPhileas',b'Trois-Rivi\xc3\xa8res Qu\xc3\xa9bec ',,,2150,1958,0,1,[]
1409978151980212230,2021-06-29 20:52:42,"b'@ChiefAgainstKpo For you, The Slayer, Jugs and Halo Infinite. https://t.co/mRiKQtycu0'",b'BF2042OF',b'',,,442,207,1,0,[]
1409977660369944576,2021-06-29 20:50:45,b'@MrLightningVolt It\xe2\x80\x99s more so halo 7 through whatever will all be under halo infinite. And the multiplayer will be warzone but halo',b'Sliverwurst',b'',,,516,64,0,0,[]
1409977026103107601,2021-06-29 20:48:13,b'@KungTroll @KirkRooster Meanwhile Forza is 30fps with no Ray Tracing.\nThe Medium 756p 22fps and minimal if any Ray\xe2\x80\xa6 https://t.co/5N74SpnPN6',b'TruGiffers',b'',,,920,2257,2,1,[]
1409976627036106752,2021-06-29 20:46:38,b'I want to play halo infinite',b'poopy_cheeks',b'',,,144,21,2,0,[]
1409976354523734022,2021-06-29 20:45:33,"b""@JackaryDraws \xe2\x80\xa2I've been playing a lot of Final Fantasy XV lately \n\n\xe2\x80\xa2I'm excited for RWBY Volume 9 and Halo: Infini\xe2\x80\xa6 https://t.co/ZaBxwm6BYc""",b'tronmaster5704',"b'Michigan, USA'",,,778,55,0,0,[]
1409975789723000835,2021-06-29 20:43:19,b'@JackaryDraws I\xe2\x80\x99ve spent the last several months going through the entire mainline Yakuza series. I just recently f\xe2\x80\xa6 https://t.co/tT8BDKkDJj',b'RandomIncubus',b'',,,463,466,0,0,[]
1409975754172084228,2021-06-29 20:43:10,"b""@AnchorMcDaddy It says Mjolnir. Isn't this the new updated armor that The Master Chief is gonna wear in HALO INFINITE?""",b'goangino',b'Planet Earth',,,23,3,1,0,[]
1409975483022811136,2021-06-29 20:42:05,"b'@Gamer_soldier21 @Dasmesee1 @DepletedBroklyn You do know Halo Infinite, Forza Horizon 5, Flight Sim, CrossfireX, Ps\xe2\x80\xa6 https://t.co/mnZRc4VIP8'",b'DausenMoore',b'',,,90,42,0,0,[]
1409975326248034307,2021-06-29 20:41:28,"b""@MrRocKeTZ @PlayStation @Housemarque We got multiple AAA exclusives dropping this Holiday so we're good! Can't say\xe2\x80\xa6 https://t.co/9A3QvJuYME""",b'Wael71595751',b'',,,78,27,1,0,[]
1409975136317546497,2021-06-29 20:40:43,b'WHERE LIVE GRINDING HALO MCC TILL THE RELESE ON HALO INFINITE \xf0\x9f\x98\x88 GET DOWN HERE!\n\nhttps://t.co/csnYMM78dk\xe2\x80\xa6 https://t.co/wWOiUvl3cO',b'Riftxn',b'Cherrytown High',,,355,264,2,0,[]
1409974970466381825,2021-06-29 20:40:03,"b""@MrBeast Yo, I'm Patman a Halo news channel that focuses on Halo Infinite and MCC. Aspiring to be one of the big ti\xe2\x80\xa6 https://t.co/toZHPVbbXu""",b'ThePatmanGaming',b'North Carolina',,,609,847,1,1,[]
1409974775749877771,2021-06-29 20:39:17,b'@AnchorMcDaddy @LateNightHalo Can\xe2\x80\x99t wait to see what it looks like in halo infinite!',b'Kiezly1',"b'Los Angeles, CA'",,,891,278,1,0,[]
1409973974696615943,2021-06-29 20:36:06,b'THIS IS WHAT INFINITE HOURS OF HALO LOOKS LIKE https://t.co/i7zc7pKQ5P',b'meatcleaveCE',b'',,,523,37,0,0,[]
1409973876692508676,2021-06-29 20:35:42,b'@haveyouseen01 1. Halo infinite\n2.dyinglight 2\n3.Elden ring \n4. Battlefield 2042\n5.DeathLoop',b'KafkaKaiju',b'',,,53,15,2,0,[]
1409973716788858880,2021-06-29 20:35:04,"b'@bigthangs510 @The_CrapGamer Want to make a bet? Dates are bs, just like God of War, Halo Infinite and COUNTLESS ma\xe2\x80\xa6 https://t.co/8ibq2quKgO'",b'CrapParody',b'',,,204,41,0,0,[]
1409973348487024642,2021-06-29 20:33:36,b'More Halo Leading Up To Infinite https://t.co/w9udBEtyCm',b'N0rsemen_Gaming',b'United Kingdom',,,1321,283,0,0,[]
1409972210391949312,2021-06-29 20:29:05,"b""1. Halo Infinite\n2. Psychonauts 2\n3. Back 4 Blood\n4. Atomic Heart\n5. Death's Door https://t.co/Ds6a4n079p""",b'MikeSzoke',b'',,,336,669,1,0,[]
1409972195799994377,2021-06-29 20:29:02,b'@BetrayskiRAGA @RoyRelapse @EuropaHalo On halo infinite i will do damage to all in EU',b'Fable_fps',"b'Haarlem, Netherlands'",,,778,1206,2,0,[]
1409971337276264448,2021-06-29 20:25:37,"b'@TAFKAB2 for me it\xe2\x80\x99s about consistency, some people enjoy infinite games like that, others don\xe2\x80\x99t, but it is what it\xe2\x80\xa6 https://t.co/gFt9TNU7jq'",b'maddd1ZZ3',b'Canada',,,273,105,0,0,[]
1409971243164614658,2021-06-29 20:25:15,b'@NoahJOsborne And Halo Infinite is running away with it. But I thought Halo was dead? \xf0\x9f\xa4\x94\xf0\x9f\xa4\xad',b'InJEVONweTrust',b'Solo dolo like a mofo',,,340,247,1,0,[]
1409970896840835073,2021-06-29 20:23:52,b'@GVirus78 @UberNick_ Yeah and Staten did a amazing job with the Halo games so Halo Infinite can be better then we thought.',b'jason35226',b'Sweden ',,,390,252,0,0,[]
1409970469177106439,2021-06-29 20:22:10,"b""@lFibreOpticl @abedarabiat87 @mr_stormzy @TinyRakan @PlayStation @Housemarque MSFT doesn't have any good game you d\xe2\x80\xa6 https://t.co/Yw0uyfHJWk""",b'Soulz11550190',b'',,,42,4,0,0,[]
1409969885837398018,2021-06-29 20:19:51,b'@Gigz Doesn\xe2\x80\x99t matter at this point. It will be ignored when Halo infinite comes out.',b'RavageSilverado',b'',,,90,14,0,0,[]
1409969226694107137,2021-06-29 20:17:14,"b""@XboxP3 honest question: I'd really love to get my hands on an #XboxSeriesX, but it's been a real battle since laun\xe2\x80\xa6 https://t.co/UUOZ8ZEv1K""",b'TheAJRamirez',"b'Los Angeles, CA'",,,978,221,0,0,"[{'text': 'XboxSeriesX', 'indices': [63, 75]}]"
1409969177289543682,2021-06-29 20:17:02,"b'Halo Infinite may split its story up into ""campaign passes""\n\nhttps://t.co/WiATQh0hJ6 https://t.co/zXt4pcZHgp'",b'ezdlc',b'',,,0,846,0,0,[]
1409969088756072455,2021-06-29 20:16:41,"b'@HalolnfiniteOF ""Based Halo Infinite"" https://t.co/Im5T9gUFPz'",b'RealJerome092',b'Stalingrad ',,,87,107,2,1,[]
1409969068883464198,2021-06-29 20:16:36,"b'@EuropaHalo yes, can be halo infinite beta cup'",b'peterben561982',b'',,,478,15,1,0,[]
1409968537641365511,2021-06-29 20:14:29,b'@haruspis I thought for a split second this was a Halo Infinite leak due to the grapple and was shocked the violent direction Halo took.',b'Wizman23',b'',,,288,48,1,0,[]
1409968527939977217,2021-06-29 20:14:27,b'@Foxy9x_ Oh and the Halo Infinite multiplayer',b'MrMafia319',"b'Marlow Heights, MD'",,,374,410,1,0,[]
1409966919466164226,2021-06-29 20:08:04,b'@infrarogue89 The Ascent\nDying Light 2\nAtomic Heart\nHalo Infinite\nScorn \nCrossfireX\nGunk\nPsychonauts 2\nFarCry 6\nBle\xe2\x80\xa6 https://t.co/gztggo5lV8',b'MTJ08172762',b'\xc4\x8cesk\xc3\xa1 republika',,,538,93,2,0,[]
1409966587965100032,2021-06-29 20:06:45,"b""@daicnau @IGN I know, can't wait for Halo Infinite and Starfield! Hoping for the best. \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x91\x8d""",b'opygam3r',b'',,,347,4297,4,0,[]
1409966153703649280,2021-06-29 20:05:01,b'@BigRobEnergy @Halo The boys and I have been playing halo 5. Waiting for infinite to come out',b'codypvh',b'Canada',,,747,222,1,0,[]
